# secret_name	key	classification	note
auth0-credentials	AUTH0_CLIENT_SECRET	secret	Auth0 client secret only.
fred-api-credentials	api-key	secret	FRED API key.
postgresql-bootstrap-credentials	password	secret	PostgreSQL bootstrap admin password.
postgresql-bootstrap-credentials	transaction-service-password	secret	transaction-service PostgreSQL password.
postgresql-bootstrap-credentials	currency-service-password	secret	currency-service PostgreSQL password.
postgresql-bootstrap-credentials	permission-service-password	secret	permission-service PostgreSQL password.
transaction-service-postgresql-credentials	password	secret	transaction-service PostgreSQL password only.
currency-service-postgresql-credentials	password	secret	currency-service PostgreSQL password only.
permission-service-postgresql-credentials	password	secret	permission-service PostgreSQL password only.
rabbitmq-bootstrap-credentials	password	secret	RabbitMQ admin password.
rabbitmq-bootstrap-credentials	definitions.json	mixed_required	RabbitMQ boot import format necessarily combines usernames and vhost with passwords in one document.
currency-service-rabbitmq-credentials	password	secret	currency-service RabbitMQ password only.
redis-bootstrap-credentials	default-password	secret	Redis default user password.
redis-bootstrap-credentials	ops-password	secret	redis-ops password.
redis-bootstrap-credentials	session-gateway-password	secret	session-gateway Redis password.
redis-bootstrap-credentials	ext-authz-password	secret	ext-authz Redis password.
redis-bootstrap-credentials	currency-service-password	secret	currency-service Redis password.
session-gateway-redis-credentials	password	secret	session-gateway Redis password only.
ext-authz-redis-credentials	password	secret	ext-authz Redis password only.
currency-service-redis-credentials	password	secret	currency-service Redis password only.
